Comment,Designator,Footprint,LCSC
22u,"C10,C6,C7",C_Elec_5x5.8,C128468
LM4040DBZ-10,U4,SOT-23,C129969
100k 1%,"R10,R12,R14,R16,R18,R24,R27,R29,R44,R45,R46,R61,R63,R67,R69",R_0805_2012Metric,C149504
Conn_02x05_Odd_Even,J2,PinHeader_2x05_P1.27mm_Vertical_SMD,C150517
741G17DBV,IC1,SOT-23-5_HandSoldering,C151394
STPS1L30U,"D1,D2",D_SMB,C157388
100,"R30,R35,R36,R37,R52,R53,R64,R65,R72,R73,R74,R75,R76,R77,R78,R79",R_0805_2012Metric,C17408
10k,"R40,R42,R43,R48,R49,R58,R59,R82,R83,R84,R85,R86,R87,R88,R89",R_0805_2012Metric,C17414
10,R51,R_0805_2012Metric,C17415
140k 1%,"R47,R60,R62,R9",R_0805_2012Metric,C17460
1k,"R2,R3,R38,R41,R5,R54,R55",R_0805_2012Metric,C17513
200k,"R11,R13,R15,R17,R23,R25,R26,R28,R66,R68",R_0805_2012Metric,C17539
220,R1,R_0805_2012Metric,C17557
33k 1%,"R56,R57,R80,R81",R_0805_2012Metric,C17633
33,R50,R_0805_2012Metric,C17634
470,R4,R_0805_2012Metric,C17710
47k,"R7,R8",R_0805_2012Metric,C17713
66.5k,"R19,R20,R21,R22,R31,R32,R33,R34,R70,R71",R_0805_2012Metric,C17791
100p,"C30,C31",C_0805_2012Metric,C1790
Conn_01x16_Male,J7,PinHeader_2x08_P2.54mm_Vertical_SMD,C188235
BC847,"Q1,Q2,Q3,Q4,Q5",SOT-23,C2138
6N138,U3,DIL8-SMD,C255744
Conn_01x10_Female,"J10,J6",PinSocket_2x05_P2.54mm_Vertical_SMD,C261072
NCP1117-3.3_SOT223,"U11,U2",SOT-223-3_TabPin2,C26537
PCA9622,U12,TSSOP-32_6.1x11mm_P0.65mm,C2678561
100u,"C2,C44,C5",C_Elec_5x5.8,C336761
Conn_01x16_Female,J8,PinSocket_2x08_P2.54mm_Vertical_SMD,C3975153
33u,"L12,L2,L6",L_0805_2012Metric,C404761
1n,"C20,C21,C22,C23,C32,C33,C34,C35,C38,C40,C41,C42,C8,C9",C_0805_2012Metric,C46653
100n,"C1,C11,C13,C15,C16,C17,C19,C24,C3,C36,C37,C39,C4,C43,C45,C46,C51,C52",C_0805_2012Metric,C49678
TL072,U6,SO-8_3.9x4.9mm_P1.27mm,C6961
MCP6002,U13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,C7377
MCP6004,"U10,U7,U9",SOIC-14_3.9x8.7mm_P1.27mm,C7378
BLM21AG102SN1D,"L10,L11,L4,L5,L7,L8,L9",L_0805_2012Metric,C85835
Conn_01x18_Male,J5,PinHeader_2x09_P2.54mm_Vertical_SMD,C88175
Conn_01x18_Female,J9,PinSocket_2x09_P2.54mm_Vertical_SMD,C920936
74HC4051D,U8,SOIC-16_4.55x10.3mm_P1.27mm,C9386
33u,L1,L_1206_3216Metric,
1N4148,D3,D_0805_2012Metric,
PESE1,U1,PESE1,
50k-lin,ATTACK1,9MM_SNAP-IN_POT,
50k-lin,cutoff1,9MM_SNAP-IN_POT,
50k-lin,RELEASE1,9MM_SNAP-IN_POT,
50k-lin,CTL2,9MM_SNAP-IN_POT,
Conn_02x08_Odd_Even,J1,con-3m-PAK100_2500-16,
ctl1,SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
ctl2,SW4,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
LED_Dual_KAK,D5,LED_D3.0mm-3,
LED_Dual_KAK,D6,LED_D3.0mm-3,
LED_Dual_KAK,D7,LED_D3.0mm-3,
LED_Dual_KAK,D8,LED_D3.0mm-3,
LED_Dual_KAK,D9,LED_D3.0mm-3,
LED_Dual_KAK,D10,LED_D3.0mm-3,
LED_Dual_KAK,D11,LED_D3.0mm-3,
LED_Dual_KAK,D12,LED_D3.0mm-3,
50k-lin,PM2,9MM_SNAP-IN_POT,
50k-lin,RATIO1,9MM_SNAP-IN_POT,
50k-lin,RATIO2,9MM_SNAP-IN_POT,
50k-lin,PM1,9MM_SNAP-IN_POT,
Device_Audio_Electrosmith_Daisy_Seed_Rev4,A1,Device_Audio_Electrosmith_Daisy_Seed,
KUSBVX,X1,USB_A_Molex_67643_Horizontal,
LED,D4,LED_D3.0mm,
