Comment,Designator,Footprint,LCSC
22u,"C10,C2,C6,C7",C_Elec_5x5.8,C128468
LM4040DBZ-10,U4,SOT-23,C129969
470n,"C14,C18",C_0805_2012Metric,C13967
100k,"R10,R12,R14,R16,R18,R24,R27,R29,R45,R46,R56,R67,R69",R_0805_2012Metric,C149504
741G17DBV,IC1,SOT-23-5_HandSoldering,C151394
100,"R30,R35,R36,R37,R47,R48,R52,R53,R64,R65,R72,R73,R74,R75,R76,R77,R78,R79",R_0805_2012Metric,C17408
10k,"R40,R42,R43,R82,R83,R84,R85,R86,R87,R88,R89",R_0805_2012Metric,C17414
10,R51,R_0805_2012Metric,C17415
140k 1%,R55,R_0805_2012Metric,C17460
1k,"R2,R3,R38,R41,R5,R6,R7",R_0805_2012Metric,C17513
200k,"R11,R13,R15,R17,R23,R25,R26,R28,R39,R44,R66,R68",R_0805_2012Metric,C17539
220,R1,R_0805_2012Metric,C17557
22k,"R8,R9",R_0805_2012Metric,C17560
33k,"R49,R54,R57",R_0805_2012Metric,C17633
33,R50,R_0805_2012Metric,C17634
470,R4,R_0805_2012Metric,C17710
66.5k,"R19,R20,R21,R22,R31,R32,R33,R34,R70,R71",R_0805_2012Metric,C17791
100p,"C30,C31",C_0805_2012Metric,C1790
2.2u,"L12,L2,L3",L_0805_2012Metric,C193676
1N4148,D3,D_SOD-323,C2128
BC847,Q1,SOT-23,C2138
6N138,U3,DIL8-SMD,C255744
NCP1117-3.3_SOT223,U11,SOT-223-3_TabPin2,C26537
LM4810,U5,TSSOP-8_3x3mm_P0.65mm,C2871753
AudioJack3,"headphone1,line1",Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,C2910522
220u,"C21,C22",CP_Elec_5x5.8,C2977551
100u,"C44,C5",C_Elec_5x5.8,C336761
USB_B,J1,USB_Micro-B_GCT_USB3076-30-A,C393940
33u,L6,L_0805_2012Metric,C404761
MCP6001-OT,U13,SOT-23-5,C412821
1n,"C23,C32,C33,C34,C35,C38,C40,C41,C42,C8,C9",C_0805_2012Metric,C46653
100n,"C1,C11,C12,C13,C15,C16,C17,C19,C20,C24,C3,C37,C39,C4,C43,C45,C46,C51,C52",C_0805_2012Metric,C49678
TL072,U6,SO-8_3.9x4.9mm_P1.27mm,C6961
MCP6004,"U10,U7,U9",SOIC-14_3.9x8.7mm_P1.27mm,C7378
BLM21AG102SN1D,"L10,L11,L8,L9",L_0805_2012Metric,C85835
74HC4051D,U8,SOIC-16_4.55x10.3mm_P1.27mm,C9386
 PESE1-S5-D12-M-TR ,U2,PESE1,
PCA9622,U12,TSSOP-32_6.1x11mm_P0.65mm,
SW_SPST,SW1,SW_E-Switch_EG1224_SPDT_Angled,
