Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,272.034,-122.3264,-90.0,top
C2,100u,C_Elec_5x5.8,267.843,-131.826,180.0,top
C3,100n,C_0805_2012Metric,191.6811,-112.1941,90.0,top
C4,100n,C_0805_2012Metric,245.322,-124.014,90.0,top
C5,100u,C_Elec_5x5.8,240.172,-125.189,-90.0,top
C6,22u,C_Elec_5x5.8,238.825,-138.425,180.0,top
C7,22u,C_Elec_5x5.8,198.5,-153.3875,90.0,top
C8,1n,C_0805_2012Metric,108.613438,-127.65868,-90.0,top
C9,1n,C_0805_2012Metric,120.725938,-127.64618,-90.0,top
C10,22u,C_Elec_5x5.8,267.8176,-154.8384,0.0,top
C11,100n,C_0805_2012Metric,114.188438,-134.45868,90.0,top
C13,100n,C_0805_2012Metric,239.55,-87.7,90.0,top
C15,100n,C_0805_2012Metric,259.08,-101.981,-90.0,top
C16,100n,C_0805_2012Metric,250.19,-102.362,90.0,top
C17,100n,C_0805_2012Metric,267.8176,-150.368,0.0,top
C19,100n,C_0805_2012Metric,238.85,-133.1,180.0,top
C20,1n,C_0805_2012Metric,188.025,-62.35,-90.0,top
C21,1n,C_0805_2012Metric,187.85,-68.25,90.0,top
C22,1n,C_0805_2012Metric,203.75,-68.25,90.0,top
C23,1n,C_0805_2012Metric,203.425,-62.35,-90.0,top
C24,100n,C_0805_2012Metric,195.725,-71.875,90.0,top
C30,100p,C_0805_2012Metric,254.2,-109.325,180.0,top
C31,100p,C_0805_2012Metric,257.7,-95.2,180.0,top
C32,1n,C_0805_2012Metric,116.299638,-115.182879,-90.0,top
C33,1n,C_0805_2012Metric,113.962838,-115.13208,-90.0,top
C34,1n,C_0805_2012Metric,119.195238,-100.437012,90.0,top
C35,1n,C_0805_2012Metric,114.216838,-100.418546,90.0,top
C36,100n,C_0805_2012Metric,121.688438,-107.05868,-90.0,top
C37,100n,C_0805_2012Metric,165.725938,-108.29618,180.0,top
C38,1n,C_0805_2012Metric,158.124972,-115.23368,-90.0,top
C39,100n,C_0805_2012Metric,149.900938,-79.74618,0.0,top
C40,1n,C_0805_2012Metric,160.478705,-115.289078,-90.0,top
C41,1n,C_0805_2012Metric,160.580305,-100.738746,90.0,top
C42,1n,C_0805_2012Metric,158.023372,-100.721813,90.0,top
C43,100n,C_0805_2012Metric,146.250938,-79.74618,180.0,top
C44,100u,C_Elec_5x5.8,251.55,-85.0,-90.0,top
C45,100n,C_0805_2012Metric,129.286,-86.4616,-90.0,top
C46,100n,C_0805_2012Metric,172.001838,-145.83028,0.0,top
C51,100n,C_0805_2012Metric,128.000938,-79.49618,0.0,top
C52,100n,C_0805_2012Metric,124.225938,-79.49618,180.0,top
D1,STPS1L30U,D_SMB,235.775,-144.425,180.0,top
D2,STPS1L30U,D_SMB,207.9371,-153.1276,90.0,top
D3,1N4148,D_0805_2012Metric,194.945,-129.794,0.0,top
IC1,741G17DBV,SOT-23-5_HandSoldering,203.525,-121.2,180.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical_SMD,195.325,-81.6,270.0,bottom
J5,Conn_01x18_Male,PinHeader_2x09_P2.54mm_Vertical_SMD,97.813838,-69.94778,180.0,top
J6,Conn_01x10_Male,PinHeader_2x05_P2.54mm_Vertical_SMD,137.255589,-99.67118,0.0,top
J7,Conn_01x16_Male,PinHeader_2x08_P2.54mm_Vertical_SMD,137.255589,-118.82118,0.0,top
J8,Conn_01x16_Female,PinSocket_2x08_P2.54mm_Vertical_SMD,230.5581,-118.825,0.0,top
J9,Conn_01x18_Female,PinSocket_2x09_P2.54mm_Vertical_SMD,269.9966,-69.9516,180.0,top
J10,Conn_01x10_Female,PinSocket_2x05_P2.54mm_Vertical_SMD,230.5581,-99.675,0.0,top
L1,33u,L_1206_3216Metric,243.3701,-144.6881,90.0,top
L2,33u,L_0805_2012Metric,260.1237,-129.2352,180.0,top
L4,BLM21PG221SN1D,L_0805_2012Metric,229.075,-145.05,180.0,top
L5,BLM21PG221SN1D,L_0805_2012Metric,213.7156,-153.3756,90.0,top
L6,33u,L_0805_2012Metric,247.65,-124.0028,90.0,top
L7,BLM21PG221SN1D,L_0805_2012Metric,138.138438,-57.54618,0.0,top
L8,BLM21AG102SN1D,L_0805_2012Metric,171.811338,-150.67128,-90.0,top
L9,BLM21AG102SN1D,L_0805_2012Metric,178.605838,-150.70478,90.0,top
L10,BLM21AG102SN1D,L_0805_2012Metric,167.760038,-155.97528,-90.0,top
L11,BLM21AG102SN1D,L_0805_2012Metric,164.9675,-153.03,180.0,top
L12,33u,L_0805_2012Metric,238.5,-79.975,180.0,top
Q1,BC847,SOT-23,164.488438,-139.17118,0.0,top
Q2,BC847,SOT-23,216.725,-67.475,270.0,top
Q3,BC847,SOT-23,220.675,-67.475,270.0,top
Q4,BC847,SOT-23,224.625,-67.475,270.0,top
Q5,BC847,SOT-23,228.575,-67.475,270.0,top
R1,220,R_0805_2012Metric,204.3684,-127.8128,0.0,top
R2,1k,R_0805_2012Metric,249.9868,-124.0028,-90.0,top
R3,1k,R_0805_2012Metric,194.2211,-112.2276,-90.0,top
R4,470,R_0805_2012Metric,196.8246,-112.1941,90.0,top
R5,1k,R_0805_2012Metric,154.2,-141.4925,90.0,top
R7,47k,R_0805_2012Metric,243.713,-107.442,0.0,top
R8,47k,R_0805_2012Metric,243.713,-97.409,0.0,top
R9,140k 1%,R_0805_2012Metric,192.3,-71.975,-90.0,top
R10,100k 1%,R_0805_2012Metric,190.175,-71.975,-90.0,top
R11,200k,R_0805_2012Metric,126.273372,-119.22378,-90.0,top
R12,100k,R_0805_2012Metric,130.988438,-138.64618,-90.0,top
R13,200k,R_0805_2012Metric,104.310838,-119.22378,-90.0,top
R14,100k,R_0805_2012Metric,142.088438,-138.98368,-90.0,top
R15,200k,R_0805_2012Metric,126.188438,-98.38368,-90.0,top
