Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,175.26,-64.836,90.0,bottom
C2,22u,C_Elec_5x5.8,158.7246,-67.8434,90.0,bottom
C3,100n,C_0805_2012Metric,227.33,-60.833,90.0,bottom
C4,100n,C_0805_2012Metric,139.192,-85.598,0.0,bottom
C5,100u,C_Elec_5x5.8,134.112,-87.376,270.0,bottom
C6,22u,C_Elec_5x5.8,166.878,-88.392,90.0,bottom
C7,22u,C_Elec_5x5.8,146.558,-89.154,90.0,bottom
C8,1n,C_0805_2012Metric,227.076,-124.968,90.0,bottom
C9,1n,C_0805_2012Metric,225.298,-116.586,270.0,bottom
C10,22u,C_Elec_5x5.8,156.9212,-54.8894,180.0,bottom
C11,100n,C_0805_2012Metric,104.46,-128.016,0.0,bottom
C12,100n,C_0805_2012Metric,224.8408,-120.777,90.0,bottom
C13,100n,C_0805_2012Metric,117.856,-55.626,0.0,bottom
C14,470n,C_0805_2012Metric,220.218,-73.66,90.0,bottom
C15,100n,C_0805_2012Metric,205.044,-59.436,180.0,bottom
C16,100n,C_0805_2012Metric,205.486,-67.564,180.0,bottom
C17,100n,C_0805_2012Metric,229.489,-60.8584,90.0,bottom
C18,470n,C_0805_2012Metric,217.424,-73.66,90.0,bottom
C19,100n,C_0805_2012Metric,163.3474,-93.726,0.0,bottom
C20,100n,C_0805_2012Metric,186.2836,-72.7558,270.0,bottom
C21,220u,CP_Elec_5x5.8,185.928,-62.824,90.0,bottom
C22,220u,CP_Elec_5x5.8,179.324,-62.738,90.0,bottom
C23,1n,C_0805_2012Metric,247.396,-100.076,0.0,bottom
C24,100n,C_0805_2012Metric,243.332,-101.092,0.0,bottom
C30,100p,C_0805_2012Metric,212.0,-64.0,0.0,bottom
C31,100p,C_0805_2012Metric,199.898,-65.212,270.0,bottom
C32,1n,C_0805_2012Metric,132.588,-126.934,90.0,bottom
C33,1n,C_0805_2012Metric,117.602,-126.934,90.0,bottom
C34,1n,C_0805_2012Metric,96.902,-126.98,90.0,bottom
C35,1n,C_0805_2012Metric,110.236,-127.0,90.0,bottom
C37,100n,C_0805_2012Metric,124.7394,-115.697,0.0,bottom
C38,1n,C_0805_2012Metric,118.0,-115.824,270.0,bottom
C39,100n,C_0805_2012Metric,108.225,-74.875,0.0,bottom
C40,1n,C_0805_2012Metric,132.334,-115.824,270.0,bottom
C41,1n,C_0805_2012Metric,96.774,-115.824,270.0,bottom
C42,1n,C_0805_2012Metric,112.014,-115.824,270.0,bottom
C43,100n,C_0805_2012Metric,111.875,-74.875,180.0,bottom
C44,100u,C_Elec_5x5.8,123.444,-58.42,180.0,bottom
C45,100n,C_0805_2012Metric,128.839938,-81.59042,270.0,bottom
C46,100n,C_0805_2012Metric,222.4786,-45.593,90.0,bottom
C51,100n,C_0805_2012Metric,130.125,-74.625,0.0,bottom
C52,100n,C_0805_2012Metric,133.9,-74.625,180.0,bottom
D3,1N4148,D_SOD-323,240.3094,-67.5894,270.0,bottom
headphone1,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,183.84,-48.95,0.0,bottom
IC1,741G17DBV,SOT-23-5_HandSoldering,232.5116,-60.5536,90.0,bottom
J1,USB_B,USB_Micro-B_GCT_USB3076-30-A,165.0746,-45.4406,180.0,bottom
L2,2.2u,L_0805_2012Metric,156.464,-74.676,0.0,bottom
L3,2.2u,L_0805_2012Metric,156.6418,-46.228,180.0,bottom
L6,33u,L_0805_2012Metric,130.302,-87.884,270.0,bottom
L8,BLM21AG102SN1D,L_0805_2012Metric,220.7303,-59.0296,0.0,bottom
L9,BLM21AG102SN1D,L_0805_2012Metric,208.026,-50.292,90.0,bottom
L10,BLM21AG102SN1D,L_0805_2012Metric,237.7948,-54.3814,0.0,bottom
L11,BLM21AG102SN1D,L_0805_2012Metric,222.7326,-50.7492,90.0,bottom
L12,2.2u,L_0805_2012Metric,127.0,-46.228,180.0,bottom
line1,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,199.303333,-48.95,0.0,bottom
Q1,BC847,SOT-23,257.556,-119.38,180.0,bottom
R1,220,R_0805_2012Metric,207.9752,-53.9242,90.0,bottom
R2,1k,R_0805_2012Metric,145.542,-84.328,0.0,bottom
R3,1k,R_0805_2012Metric,224.282,-63.754,180.0,bottom
R4,470,R_0805_2012Metric,224.282,-66.548,0.0,bottom
R5,1k,R_0805_2012Metric,264.3886,-121.3358,180.0,bottom
R6,1k,R_0805_2012Metric,205.9432,-56.1086,270.0,bottom
R7,1k,R_0805_2012Metric,192.278,-48.26,270.0,bottom
R8,22k,R_0805_2012Metric,220.218,-70.104,270.0,bottom
R9,22k,R_0805_2012Metric,217.424,-70.104,270.0,bottom
R10,100k,R_0805_2012Metric,248.4374,-70.9168,180.0,bottom
R11,200k,R_0805_2012Metric,144.78,-100.33,90.0,bottom
R12,100k,R_0805_2012Metric,248.6937,-92.8116,180.0,bottom
R13,200k,R_0805_2012Metric,145.034,-141.3745,270.0,bottom
R14,100k,R_0805_2012Metric,263.1717,-93.1164,180.0,bottom
R15,200k,R_0805_2012Metric,95.25,-139.954,270.0,bottom
R16,100k,R_0805_2012Metric,263.2456,-49.3522,180.0,bottom
R17,200k,R_0805_2012Metric,120.09717,-139.954,270.0,bottom
R18,100k,R_0805_2012Metric,263.271,-59.9948,180.0,bottom
R19,66.5k,R_0805_2012Metric,130.302,-126.914,90.0,bottom
R20,66.5k,R_0805_2012Metric,119.888,-126.914,90.0,bottom
R21,66.5k,R_0805_2012Metric,99.314,-127.0,90.0,bottom
R22,66.5k,R_0805_2012Metric,112.522,-126.98,90.0,bottom
R23,200k,R_0805_2012Metric,194.818,-98.552,90.0,bottom
R24,100k,R_0805_2012Metric,263.0405,-71.0892,180.0,bottom
R25,200k,R_0805_2012Metric,194.8942,-78.8416,0.0,bottom
R26,200k,R_0805_2012Metric,95.25,-98.1945,90.0,bottom
R27,100k,R_0805_2012Metric,248.4355,-49.3014,180.0,bottom
R28,200k,R_0805_2012Metric,119.936318,-100.7345,90.0,bottom
R29,100k,R_0805_2012Metric,248.158,-60.198,180.0,bottom
R30,100,R_0805_2012Metric,96.725,-58.975,0.0,bottom
R31,66.5k,R_0805_2012Metric,120.142,-115.804,270.0,bottom
